0,4.92024946864694,0,0,-11.3759961910546,0,0,-89.8062036374904,0,0,-1.1522295268951,0,0,0,0,0
4.92024946864694,0,-0.561565950512886,0,0,0,0,0,-56.3705296188127,0,0,0,0,0,-2.6008189173881,0
0,-0.561565950512886,0,0,-0.658650337776635,-24.0123630297603,0,-17.9914589696564,0,0,0,-2.59351382777095,0,0,0,0
0,0,0,0,0,0,0,0,-107.2861378261,0,0,-2.23049560468644,0,0,-41.4840002048295,0
-11.3759961910546,0,-0.658650337776635,0,0,7.40950346342288,4.80569684691727,0,0,0,0,0,-39.5712022725493,0,0,0
0,0,-24.0123630297603,0,7.40950346342288,0,0,0,0,0,0,0,-14.2006164304912,0,-104.842812667834,0
0,0,0,0,4.80569684691727,0,0,0,0,0,0,-9.09086757825571,0,0,-40.059246994555,0
-89.8062036374904,0,-17.9914589696564,0,0,0,0,0,0,0,0,-41.02198431344,0,0,0,0
0,-56.3705296188127,0,-107.2861378261,0,0,0,0,0,0,0,0,0,9.31153138409718,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-12.094147156371,0,-8.76498220692156
-1.1522295268951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.33533759627608
0,0,-2.59351382777095,-2.23049560468644,0,0,-9.09086757825571,-41.02198431344,0,0,0,0,0,0,0,0
0,0,0,0,-39.5712022725493,-14.2006164304912,0,0,0,0,0,0,0,0,0,-1.45017733279383
0,0,0,0,0,0,0,0,9.31153138409718,-12.094147156371,0,0,0,0,0,1.30991020376678
0,-2.6008189173881,0,-41.4840002048295,0,-104.842812667834,-40.059246994555,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-8.76498220692156,-3.33533759627608,0,-1.45017733279383,1.30991020376678,0,0
